epoch,train_loss,train_acc,test_loss,test_acc,subset_fraction,weight_decay
1,1.657585859576583,0.4792933891822983,0.7356767617495714,0.7562744004461796,1.0,0.0001
2,0.496494272441575,0.8330358768894555,0.4480460866362648,0.8706079196876743,1.0,0.0001
3,0.2560271397580356,0.9146603533054088,0.403923066184584,0.8922197434467373,1.0,0.0001
4,0.15031933665084532,0.9515570934256056,0.3673926263520148,0.9042108198549916,1.0,0.0001
5,0.10413840473445006,0.967109816062648,0.34923867868111197,0.9121583937534857,1.0,0.0001
6,0.07713334819427876,0.9748315425241304,0.3527059399283829,0.9261015058561071,1.0,0.0001
7,0.062199021223932505,0.9812784556547077,0.3768180130395742,0.9279141104294478,1.0,0.0001
8,0.05746790821205972,0.9805499908941905,0.3876393748760487,0.9187116564417178,1.0,0.0001
9,0.04923182304531753,0.9835002731742852,0.3786215526093028,0.9274958170663692,1.0,0.0001
10,0.04170559350312156,0.9868876343106903,0.3811304683779548,0.9215002788622421,1.0,0.0001
11,0.0381158865094923,0.9872518666909488,0.44218007809754495,0.9118795315114333,1.0,0.0001
12,0.03451382515231247,0.9892551447823712,0.3743032228893938,0.9111823759063022,1.0,0.0001
13,0.03325318320359088,0.9891458750682935,0.44299034037487167,0.9100669269380925,1.0,0.0001
14,0.03062577171702728,0.9901293024949918,0.37189552095508516,0.9298661461238148,1.0,0.0001
15,0.02834216999769263,0.9903842651611728,0.48293470726066434,0.9192693809258227,1.0,0.0001
