epoch,train_loss,train_acc,test_loss,test_acc,subset_fraction,weight_decay
1,3.2126512582912,0.04007285974499089,3.233676688861003,0.020078081427774678,0.1,0.0
2,3.186538424602775,0.05391621129326048,3.189016996231754,0.05577244841048522,0.1,0.0
3,3.1428844817849093,0.06703096539162114,3.141669220628992,0.047685443390964866,0.1,0.0
4,3.108621408773023,0.07613843351548269,3.125482882018638,0.05368098159509203,0.1,0.0
5,2.9474583891935127,0.11475409836065574,2.8512168310384833,0.10234244283324039,0.1,0.0
6,2.624601630277412,0.18579234972677597,2.3932475685018355,0.23661461238148354,0.1,0.0
7,2.3166440420372543,0.2754098360655738,2.1651317999426243,0.312186279977691,0.1,0.0
8,2.0452089586923288,0.34972677595628415,1.9171084930411482,0.38859453430005575,0.1,0.0
9,1.8883745836657146,0.3989071038251366,1.7952439484343063,0.4291689905186838,0.1,0.0
10,1.7206902614859647,0.4426229508196721,1.664294522420495,0.46542108198549914,0.1,0.0
11,1.5914539764093798,0.4958105646630237,1.5318785863640034,0.5256553262688232,0.1,0.0
12,1.4630449095437692,0.5224043715846994,1.5133091274615937,0.5299776910206359,0.1,0.0
13,1.367916933325834,0.5533697632058288,1.3762786209055808,0.5493586168432795,0.1,0.0
14,1.2611151878223863,0.5894353369763206,1.3518538432838643,0.552983825989961,0.1,0.0
15,1.1886812850486401,0.5989071038251366,1.2266547917264752,0.6061070831009482,0.1,0.0
