epoch,train_loss,train_acc,test_loss,test_acc,subset_fraction,weight_decay
1,3.1600130824155586,0.06484517304189436,3.131534618613994,0.05061349693251534,0.1,0.0
2,2.829823055932688,0.17012750455373407,2.4631405509678665,0.23522030117122142,0.1,0.0
3,2.1440729900848035,0.3162112932604736,1.8162172832320223,0.4754601226993865,0.1,0.0
4,1.7161060571670532,0.44517304189435336,1.5446323124708328,0.5298382598996096,0.1,0.0
5,1.4322068746699843,0.5275045537340619,1.3360521793365479,0.5497769102063581,0.1,0.0
6,1.2540816207264744,0.5814207650273224,1.1558582540106985,0.6203290574456218,0.1,0.0
7,1.0778122682904088,0.6375227686703097,1.0716074465122898,0.6332961517010597,0.1,0.0
8,0.9658692035564157,0.6805100182149363,0.9868683208406499,0.6675962074735081,0.1,0.0
9,0.886897974236067,0.7005464480874317,0.9330438502066958,0.6701059676519799,0.1,0.0
10,0.7825401591700177,0.7428051001821494,0.8661229921653207,0.7115170105967652,0.1,0.0
11,0.7108688118845917,0.7544626593806921,0.8083585665553017,0.7150027886224205,0.1,0.0
12,0.6440883625385373,0.7901639344262295,0.7578047775061785,0.7380089235917456,0.1,0.0
13,0.5925792005172995,0.8069216757741348,0.6836413325725403,0.7647796988287786,0.1,0.0
14,0.5544187703797984,0.82040072859745,0.6894360676539683,0.7668711656441718,0.1,0.0
15,0.516275413507639,0.8185792349726776,0.7287173640411512,0.7610150585610709,0.1,0.0
